kode,keterangan_bersih
2103,benih tanam hutan kelompok cakup giat benih pohon hutan besar umur benih pohon pohon hutan cakup kelompok
2201,panen kayu kelompok cakup giat poduksi kayu bulat tebang hutan industri bas produk hutan bentuk olah pit props tonggak pagar tiang listrik telepon
2202,mungut kayu kelompok cakup giat mungut kayu hutan residu hasil giat tebang pohon hutan semak belukar tunggul pohon serpih kayu limbah hutan energi kelompok cakup giat produksi arang tradisional asosiasi giat hutan
2300,mungut hasil hutan kayu kelompok cakup giat mungut hasil hutan kayu tumbuh liar jamur truffles rian kacang kacang balata getah gabus lak damar resin balsam biji pohon ek kasta horse chestnuts lumut lumut kerak sayur rambut eelgrass kelompok cakup mungut getah karet getah perca jelutung kemenyan mungut rotan getah pinus jernang kopal selak mungut bambu tumbuh liar mungut kokon kepompong ulat sutra damar madu sarang burung walet mungut daun buah kulit kayu gaharu daun ranting kulit kayu cendana kulit kayu lawang kayu manis mungut daun pandan daun kayu putih kumpul rempah tumbuh liar ering alami kelompok cakup tani hasil produk produk kecuali tanam pohon gabus golong pokok tani jamur truffles tani buah aneka kacang kumpul kayu bakar
2401,jasa lingkung hutan kelompok cakup giat manfaat jasa kondisi lingkung hutan manfaat kondisi lingkung manfaat potensi ekosistem fungsi konservasi lindung manfaat jasa lingkung hutan air udara iklim fenomena alam khas jenis uni spesies giat hutan alam hutan semialami hutan tanam
2402,jasa guna kawasan hutan kelompok cakup jasa hutan bidang guna kawasan hutan ubah fungsi untuk kawasan hutan
2409,jasa tunjang hutan kelompok cakup giat jasa hutan inventarisasi hutan jasa konsultasi manajemen hutan evaluasi kayu cegah bakar hutan kendali hama hutan sewa lengkap alat hutan serta operator giat jasa panen kayu angkut kayu hutan terasosisasi giat panen kayu kelompok cakup benih tanam hutan ering lahan hutan bersih lokasi bangun kelola air kawasan hutan usaha tenaga panas bumi kawasan hutan giat tangkap simpan karbon aktivitas taman botani kebun binatang cagar alam aktivitas bangkit tenaga listrik tenaga surya angin hutan
3110,tangkap ikan biota air laut kelompok cakup tangkap ikan tuju komersial samudra pesisir liput ikan sirip tuna cakalang hiu pari krustasea udang rajungan kepiting bangsa moluska kerang tiram cumi cumi gurita siput bangsa coelenterata ubur ubur bangsa ekinodermata teripang bulu babi bangsa amfibi kodok bangsa reptilia buaya penyu kura kura biawak ular air bangsa alga rumput laut tumbuh hidup air biota air giat tangkap ikan biota air laut lainnyayang lindung cakup apendiks convention on international trade in endangered species of wild fauna and flora cites batas dasar tentu undang laku paus dugong penyu lumba lumba ikan napoleon kuda laut buaya air asin karang keras karang lunak capung bangga hiu pari subgolongan cakup kumpul biota laut material laut mutiara alam terumbu karang bunga karang rumput laut alga subgolongan cakup tangkap mamalia laut darat singa laut anjing laut olah ikan paus kapal pabrik olah ikan krustasea moluska pabrik kapal darat sewa kapal pesiar kru angkut laut layar jasa patroli periksa lindung tangkap ikan aktivitas pancing olahraga rekreasi jasa kait operasi fasilitas pancing olahraga
3120,tangkap ikan biota air air air tawar kelompok cakup tangkap ikan tuju komersial air air tawar darat ambil krustasea udang kepiting bangsa moluska kerang cumi cumi bangsa amfibi kodok bangsa reptilia buaya penyu kura kura biawak ular air bangsa tumbuh air biota air tawar giat tangkap ikan biota air tawar lindung cakup apendiks convention on international trade in endangered species of wild fauna and flora cites batas dasar tentu undang laku arwana super red arwana jardinii buaya air tawar sidat hiu pari ambil binatang biota air tawar kumpul material air tawar
3211,pembudidayaan ikan sirip ikan hias biota air laut lindung kelompok cakup giat deder pelihara besar biak benih panen ikan sirip biota laut lindung umur bentuk ukur konsumsi input giat budi daya besar jenis biota air laut dibudidayakan contoh kerapu kakap putih cobia bawal bintang bubara lobster kepiting rajungan kerang kerang tiram cumicumi bulu babi teripang ubur ubur kura kura penyu singa laut anjing laut giat budi daya laut muara sungai laguna pengaruh pasang surut fasilitas buat air laut media budi daya kelompok cakup giat budi daya ikan hias air laut
3212,pembudidayaan ikan hias air laut lindung kelompok cakup giat deder pelihara besar biak benih panen ikan hias air laut lindung kuda laut ikan badut clownfish angel piyama blue devil giat laut muara sungai laguna fasilitas buat air laut media budi daya
3213,pembudidayaan tumbuh air laut lindung kelompok cakup giat pelihara besar panen tumbuh air laut lindung rumput laut spesies kappaphycus spp eucheuma spp sargassum spp ulva spp mikroalga benih tumbuh air laut kelompok cakup giat pembudidayaan tumbuh air laut tuju serap simpan karbon alami jual kredit karbon sertifikat kurang emisi hasil giat budi daya giat laut muara sungai laguna pengaruh pasang surut fasilitas buat air laut media budi daya
3214,pengembangbiakan ikan biota air laut lindung kelompok cakup giat pengembangbiakan ikan biota air laut lindung apendiks convention on international trade in endangered species of wild fauna and flora cites batas dasar tentu undang laku ikan napoleon kuda laut capung bangga clarion angelfish
3221,pembudidayaan ikan sirip ikan hias biota air tawar lindung kelompok cakup giat deder pelihara besar biak benih panen ikan sirip biota air tawar lindung umur bentuk ukur konsumsi input giat budi daya besar jenis biota air tawar dibudidayakan contoh ikan mas nila patin gurami gabus toman mujair tawes lele katak giat budi daya air umum air tawar darat danau waduk sungai genang air fasilitas buat air tawar media budi daya
3222,pembudidayaan ikan hias air tawar lindung kelompok cakup deder pelihara besar biak benih panen ikan hias air tawar lindung diskus botia mas koki mas koi arwana black ghost cupang silver dollar palmas rainbow tetra diamon tetra barnabus fish molly platty manfish giat lahan air fasilitas buat air tawar media budi daya
3223,pembudidayaan tumbuh air tawar lindung kelompok cakup giat pelihara besar panen tumbuh air tawar lindung tanam hias mikroalga anubias spp java moss java fern benih tumbuh air tawar kelompok cakup giat pembudidayaan tumbuh air tawar tuju serap simpan karbon alami jual kredit karbon sertifikat kurang emisi hasil giat budi daya giat lahan air fasilitas buat air tawar media budi daya
3224,pengembangbiakan biota air tawar lindung kelompok cakup giat pengembangbiakan ikan biota air tawar lindung apendiks convention on international trade in endangered species of wild fauna and flora cites dasar tentu undang laku pari air tawar belida badar goa wader goa selusur maninjau arwana super red arwana jardinii zebra pleco pari motoro
3231,pembudidayaan ikan sirip ikan hias biota air payau lindung kelompok cakup giat deder besar biak benih panen ikan sirip biota air payau lindung umur bentuk ukur konsumsi input giat budi daya besar jenis biota air payau dibudidayakan contoh ikan bandeng patin nila salin kakap kepiting udang windu udang vaname giat lahan air fasilitas buat air payau media budi daya
